Name,Dosage,Forme,Presentation,Price,Remboursement,DCI,Type,Prescription
CARVIDOL,"12,5 mg",Comprimes,B/30,15.545,11.654,CARVEDILOL,Antihypertenseurs,Oui
CARVIDOL,25 mg,Comprimes,B/30,21.92,16.04,CARVEDILOL,Antihypertenseurs,Oui
CARVIDOL,"6,25 mg",Comprimes,B/30,9.99,7.701,CARVEDILOL,Antihypertenseurs,Oui
CEBUTOL 400,400 mg,Comprimes pellicules,B/32,10.5,6.419,ACEBUTOLOL,Antihypertenseurs,Oui
CEBUTRAL,400 mg,Comprimes pellicules secables,B/30,12.69,6.018,ACEBUTOLOL,Antihypertenseurs,Oui
CEDROX,250 mg,Suspension buvable,FL/60 ml,4.74,4.029,CEFADROXIL,Antibiotiques,Oui
CEDROX,500 mg,Gelules,B/12,7.51,5.273,CEFADROXIL,Antibiotiques,Oui
CEDROX,500 mg,Gelules,B/24,12.425,10.547,CEFADROXIL,Antibiotiques,Oui
CEDROX,500 mg,Suspension buvable,FL/60 ml,8.16,6.936,CEFADROXIL,Antibiotiques,Oui
CEFAZOL IM,1 g,Pdre p.prep.injectable,B/1 FL + solv/5 ml,3.89,3.06,CEFAZOLINE,Antibiotiques,Oui
CEFAZOL IM IV,1 g,Pdre p.prep.injectable,B/1 FL + solv/5 ml,3.6,3.06,CEFAZOLINE,Antibiotiques,Oui
CEFODOX,100 mg,Comprimes,B/10,21.05,16.201,CEFPODOXIME,Antibiotiques,Oui
CEFODOX,200 mg,Comprimes,B/10,21.691,18.437,CEFPODOXIME,Antibiotiques,Oui
CEFODOX,40 mg/5 ml,Granules pour suspension buvable,FL/100 ml,20.12,17.085,CEFPODOXIME,Antibiotiques,Oui
CEFOKEN,200 mg,Gelules,B/16,29.495,20.74,CEFIXIME,Antibiotiques,Oui
CEFOTIM IM,1 g,Pdre p.prep.injectable,B/1 FL + solv/4 ml,11.87,10.09,CEFOTAXIME,Antibiotiques,Oui
CEFOTIM IM IV,"0,5 g",Pdre p.prep.injectable,B/1 FL + solv/2 ml,6.84,5.814,CEFOTAXIME,Antibiotiques,Oui
CEFOTIM IM IV,1 g,Pdre p.prep.injectable,B/1 FL + solv/4 ml,12.43,10.09,CEFOTAXIME,Antibiotiques,Oui
CELASONE,"0,05%",Lotion,FL/15 g,2.28,0.765,BETAMETHASONE,Corticoïdes,Non
CELASONE 4,4 mg/ml,Solution injectable,B/3/1 ml,5.445,4.628,BETAMETHASONE,Corticoïdes,Oui
CELEBREX,200 mg,Gelules,B/10,13.96,2.536,CELECOXIB,Anti-inflammatoires,Non
CELEBREX,200 mg,Gelules,B/20,22.52,5.072,CELECOXIB,Anti-inflammatoires,Non
CELEBREX,200 mg,Gelules,B/30,31.33,7.608,CELECOXIB,Anti-inflammatoires,Non
CELESTENE,2 mg,Comprimes solubles,B/20,7.004,5.95,BETAMETHASONE,Corticoïdes,Oui
CELESTENE CHRONODOSE,"5,7 mg/ml",Suspension injectable,B/1/1 ml,2.239,1.903,BETAMETHASONE,Corticoïdes,Oui
CELIPROL,200 mg,Comprimes enrobes,B/30,12.33,10.481,CELIPROLOL,Antihypertenseurs,Oui
CELLUVISC,"4 mg/0,4 ml",Collyre,B/30 flacs unids,5.491,4.667,CARMELLOSE,Autres,Oui
CELOPRAM,20 mg,Comprimes pellicules secables,B/30,15.785,13.413,CITALOPRAM,Antidépresseurs,Oui
CELOPRAM,40 mg/ml,Solution buvable,FL/12 ml,11.345,9.639,CITALOPRAM,Antidépresseurs,Oui
CELOXX,200 mg,Gelules,B/10,11.99,2.536,CELECOXIB,Anti-inflammatoires,Non
CELOXX,200 mg,Gelules,B/20,17.245,5.072,CELECOXIB,Anti-inflammatoires,Non
CELOXX,200 mg,Gelules,B/30,19.74,7.608,CELECOXIB,Anti-inflammatoires,Non
CERULYSE,"5,00%",Gouttes auriculaires,FL/10 ml,4.718,1.884,XYLENE,Décongestionnants,Non
CETAMOL,1 g,Comprimes secables,B/8,2.995,1.986,PARACETAMOL,Analgésiques (antidouleurs),Non
CETAMOL,1 g,Poudre pour solution orale,B/8 sachets,4.33,3.679,PARACETAMOL,Analgésiques (antidouleurs),Non
CETAMOL,1 g,Solution injectable pour perfusion,12 Poche/100 ml,84.33,42.279,PARACETAMOL,Analgésiques (antidouleurs),Non
CETAMOL,500 mg,Comprimes secables,B/16,1.515,0.68,PARACETAMOL,Analgésiques (antidouleurs),Non
CETAMOL,500 mg,Gelules,B/16,1.515,0.68,PARACETAMOL,Analgésiques (antidouleurs),Non
CETAMOL,500 mg,Gelules,B/20,1.965,0.85,PARACETAMOL,Analgésiques (antidouleurs),Non
CETRADOL,"37,5 mg/325 mg",Gelules,B/20,6.365,3.808,TRAMADOL + PARACETAMOL,Analgésiques (antidouleurs),Non
CETRIX,10 mg,Comprimes pellicules secables,B/30,7.505,6.375,CETIRIZINE,Antihistaminiques,Non
CETROTIDE,"0,25 mg",Pdre p.prep.injectable,B/1 FL + Ser/1 ml,55.395,47.086,CETRORELIX,Hormones,Oui
CHIBRO-PROSCAR,5 mg,Comprimes pellicules,B/28,45.32,18.122,FINASTERIDE,Hormones,Oui
CHLOROTHIAZIDE,500 mg,Comprimes enrobes,B/20,3.15,2.669,CHLOROTHIAZIDE,Diurétiques,Oui
CHLORURE DE POTASSIUM UNIMED,"7,46%",Solution injectable,B/10/10 ml,3.805,3.8,CHLORURE DE POTASSIUM,Vitamines et compléments alimentaires,Non
CHLORURE DE SODIUM 10% UNIMED,"1,40%",Collyre,FL/5 ml,1.82,1.547,CHLORURE DE SODIUM,Vitamines et compléments alimentaires,Non
CHLORURE DE SODIUM 10% UNIMED,"10,00%",Solution injectable,B/10/10 ml,3.81,3.81,CHLORURE DE SODIUM,Vitamines et compléments alimentaires,Non
CHOLDOWN,10 mg,Comprimes pellicules,B/30,15.46,12.47,ATORVASTATINE,Autres,Oui
CHOLDOWN,10 mg,Comprimes pellicules,B/90,44.04,37.408,ATORVASTATINE,Autres,Oui
CHOLESTYL,10 mg,Comprimes pellicules,B/30,15.64,12.47,ATORVASTATINE,Autres,Oui
CHOLESTYL,10 mg,Comprimes pellicules,B/90,44.34,37.408,ATORVASTATINE,Autres,Oui
CIBRAMINE 10,10 mg,Comprimes pellicules secables,B/28,23.705,20.135,ESCITALOPRAM,Antidépresseurs,Oui
CIDOMYCINE 20,20 mg/2 ml,Solution injectable,B/5/2 ml,5.395,4.586,GENTAMICINE,Antibiotiques,Oui
CIDOMYCINE 40,40 mg/2 ml,Solution injectable,B/5/2 ml,5.37,4.564,GENTAMICINE,Antibiotiques,Oui
CIDOMYCINE 80,80 mg/2 ml,Solution injectable,B/5/2 ml,8.76,7.446,GENTAMICINE,Antibiotiques,Oui
CIMEDINE,400 mg,Comprimes,B/24,8.54,7.242,CIMETIDINE,Antiacides,Non
CINCOR 2.5,"2,5 mg",Comprimes pellicules secables,B/30,7.33,4.59,BISOPROLOL,Antihypertenseurs,Oui
CINKASA,500 mg,Suppositoires,B/15,13.12,11.144,MESALAZINE,Anti-inflammatoires,Oui
CIPRACTINE,4 mg,Comprimes,B/30,5.39,4.335,CYPROHEPTADINE,Antihistaminiques,Non
CIPRO 500,500 mg,Comprimes enrobes,B/14,12.31,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPROCINE,500 mg,Comprimes pellicules secables,B/14,9.34,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPRODAR,500 mg,Comprimes,B/14,12.24,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPROFLEX 500,500 mg,Comprimes pellicules,B/14,11.47,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPROFLEX 500,500 mg,Comprimes pellicules,B/28,18.44,15.565,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,"0,30%",Collyre,FL/5 ml,4.6,3.91,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,500 mg,Comprimes pellicules secables,B/10,10.19,5.559,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,500 mg,Comprimes pellicules secables,B/14,12.73,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,750 mg,Comprimes enrobes,B/14,18.585,8.854,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,750 mg,Comprimes pellicules,B/14,10.43,8.854,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,750 mg,Comprimes pellicules,B/15,11.16,9.486,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,750 mg,Comprimes pellicules secables,B/14,16.84,8.854,CIPROFLOXACINE,Antibiotiques,Oui
CIPROLON 500,750 mg,Comprimes pellicules secables,B/28,25.01,17.707,CIPROFLOXACINE,Antibiotiques,Oui
CIPROMAX 500,500 mg,Comprimes pellicules secables,B/14,9.16,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPROSAIPH,500 mg,Comprimes pellicules secables,B/14,10.515,7.783,CIPROFLOXACINE,Antibiotiques,Oui
CIPTADINE,4 mg,Comprimes enrobes secables,B/30,5.12,4.335,CYPROHEPTADINE,Antihistaminiques,Non
CITOM,50 mg,Comprimes secables,B/10,7.87,5.338,CLOMIFENE,Hormones,Oui
CITOM,50 mg,Comprimes secables,B/5,4.055,2.669,CLOMIFENE,Hormones,Oui
CLAMOXYL,500 mg,Gelules,B/12,7.92,2.519,AMOXICILLINE,Antibiotiques,Oui
CLAMOXYL DISPERSIBLE,1 g,Comprimes solubles,B/12,13.805,4.845,AMOXICILLINE,Antibiotiques,Oui
CLAMOXYL DISPERSIBLE,500 mg,Comprimes solubles,B/12,8.74,3.07,AMOXICILLINE,Antibiotiques,Oui
CLAMYCINE,250 mg,Comprimes pellicules secables,B/14,15.97,11.293,CLARITHROMYCINE,Antibiotiques,Oui
CLARID,250 mg,Comprimes pellicules,B/10,13.505,8.067,CLARITHROMYCINE,Antibiotiques,Oui
CLARID,250 mg,Comprimes pellicules,B/14,16.54,11.293,CLARITHROMYCINE,Antibiotiques,Oui
CLARIMAX,250 mg,Comprimes pellicules,B/14,14.0,11.293,CLARITHROMYCINE,Antibiotiques,Oui
CLARITHRO 250,250 mg,Comprimes pellicules,B/10,11.345,8.067,CLARITHROMYCINE,Antibiotiques,Oui
CLARIUS,5 mg,Comprimes pellicules,B/15,5.42,4.118,DESLORATADINE,Antihistaminiques,Non
CLARIUS,5 mg,Comprimes pellicules,B/30,9.705,8.236,DESLORATADINE,Antihistaminiques,Non
CLAVOR,500 mg/125 mg,Comprimes,B/12,10.125,8.599,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
CLENIL 250 µG,250 µg,Aerosol,FL/200 doses,21.875,10.88,BECLOMETASONE,Corticoïdes,Oui
CLIMASTON,1 mg/10 mg,Comprimes pellicules,B/14 + 14,10.689,9.068,ESTRADIOL+DYDROGESTRONE,Hormones,Oui
CLIMASTON,1 mg/5 mg,Comprimes pellicules,B/28,12.063,10.234,ESTRADIOL+DYDROGESTRONE,Hormones,Oui
CLIMASTON,2 mg/10 mg,Comprimes pellicules,B/14 + 14,10.224,8.687,ESTRADIOL+DYDROGESTRONE,Hormones,Oui
CLOBEX,500 µg/g,Shampooing,B/1 FL/125 ml,31.91,27.094,CLOBETASOL,Corticoïdes,Non
CLOPIX,75 mg,Comprimes pellicules,B/30,36.52,24.939,CLOPIDOGREL,Antiplaquettaires,Oui
CLOPIX,75 mg,Comprimes pellicules,B/60,149.555,49.878,CLOPIDOGREL,Antiplaquettaires,Oui
CLOPIX,75 mg,Comprimes pellicules,B/90,103.12,74.817,CLOPIDOGREL,Antiplaquettaires,Oui
CLOVEN,75 mg,Comprimes pellicules,B/30,32.155,24.939,CLOPIDOGREL,Antiplaquettaires,Oui
CLOVEN,75 mg,Comprimes pellicules,B/90,90.08,74.817,CLOPIDOGREL,Antiplaquettaires,Oui
CO-ARADEUX,"150 mg/12,5 mg",Comprimes pellicules,B/30,25.895,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,"150 mg/12,5 mg",Comprimes pellicules,B/90,65.955,51.178,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,"300 mg/12,5 mg",Comprimes pellicules,B/30,24.24,20.604,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,"300 mg/12,5 mg",Comprimes pellicules,B/90,85.47,61.812,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,"300 mg/12,5 mg",Comprimes secables,B/30,33.25,20.604,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,"300 mg/12,5 mg",Comprimes secables,B/90,87.27,61.812,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,300 mg/25 mg,Comprimes pellicules,B/30,33.155,20.604,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,300 mg/25 mg,Comprimes pellicules,B/90,85.48,61.812,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,300 mg/25 mg,Comprimes secables,B/30,34.58,20.604,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ARADEUX,300 mg/25 mg,Comprimes secables,B/90,88.44,61.812,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-IRBESAR,"150 mg/12,5 mg",Comprimes secables,B/30,23.95,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-IRBESAR,"150 mg/12,5 mg",Comprimes secables,B/90,66.06,51.178,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-IRBY,"150 mg/12,5 mg",Comprimes pellicules,B/30,23.865,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-IRIVEL,"150 mg/12,5 mg",Comprimes pellicules,B/30,26.14,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-IRIVEL,"150 mg/12,5 mg",Comprimes pellicules,B/90,66.03,51.178,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR,"50 mg/12,5 mg",Comprimes pellicules,B/30,27.245,17.468,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR,"50 mg/12,5 mg",Comprimes pellicules,B/60,48.185,34.935,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR,"50 mg/12,5 mg",Comprimes pellicules,B/90,64.97,52.403,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR FORT,100 mg/25 mg,Comprimes pellicules secables,B/30,30.975,20.196,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR FORT,100 mg/25 mg,Comprimes pellicules secables,B/90,75.035,60.588,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR PLUS,"100 mg/12,5 mg",Comprimes pellicules secables,B/30,29.29,20.961,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSAR PLUS,"100 mg/12,5 mg",Comprimes pellicules secables,B/90,74.03,62.883,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSARTAN WINTHROP,100 mg/25 mg,Comprimes pellicules secables,B/30,26.485,20.196,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-LOSARTAN WINTHROP,"50 mg/12,5 mg",Comprimes pellicules,B/30,25.11,17.468,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-MEDZAR,"50 mg/12,5 mg",Comprimes pellicules secables,B/28,24.245,16.303,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-MEDZAR,"50 mg/12,5 mg",Comprimes pellicules secables,B/90,61.735,52.403,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-MEDZAR FORT,100 mg/25 mg,Comprimes pellicules secables,B/28,27.08,18.85,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-MEDZAR FORT,100 mg/25 mg,Comprimes pellicules secables,B/90,71.29,60.588,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-TENSOPRIL,50 mg/25 mg,Comprimes,B/30,19.41,16.473,CAPTOPRIL+HYDROCHLORTHIAZIDE,Antihypertenseurs,Oui
CO-THERAPRIL,10 mg/10 mg,Comprimes,B/30,36.84,31.314,PERINDOPRIL+AMLODIPINE,Antihypertenseurs,Oui
CO-THERAPRIL,10 mg/5 mg,Comprimes,B/30,34.315,29.147,PERINDOPRIL+AMLODIPINE,Antihypertenseurs,Oui
CO-THERAPRIL,5 mg/5 mg,Comprimes,B/30,27.145,23.052,PERINDOPRIL+AMLODIPINE,Antihypertenseurs,Oui
CO-ZARTAN,"50 mg/12,5 mg",Comprimes pellicules secables,B/30,30.445,17.468,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ZARTAN,"50 mg/12,5 mg",Comprimes pellicules secables,B/90,67.315,52.403,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ZARTAN FORT,100 mg/25 mg,Comprimes pellicules,B/30,34.66,20.196,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
CO-ZARTAN FORT,100 mg/25 mg,Comprimes pellicules,B/90,77.64,60.588,LOSARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COAPROVEL,"150 mg/12,5 mg",Comprimes pellicules,B/30,43.025,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COAPROVEL,"150 mg/12,5 mg",Comprimes pellicules,B/90,120.045,51.178,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COAPROZAR,"150 mg/12,5 mg",Comprimes pellicules,B/30,28.015,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COAPROZAR,"150 mg/12,5 mg",Comprimes pellicules,B/90,70.82,51.178,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COARAVEN,"150 mg/12,5 mg",Comprimes pellicules,B/30,30.625,17.059,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COARAVEN,"150 mg/12,5 mg",Comprimes pellicules,B/90,80.15,51.178,IRBESARTAN+HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COLCHICINA LIRCA,1 mg,Comprimes,B/20,3.36,2.856,COLCHICINE,Anti-inflammatoires,Oui
COLCHICINA LIRCA,1 mg,Comprimes,B/60,29.405,8.568,COLCHICINE,Anti-inflammatoires,Oui
COLLARGOL,"5,00%",Pommade dermique,T/10 g,2.525,1.008,ARGENT COLLARGOL+ARGENT COLLOIDAL,Autres,Oui
COLOCALM,160 mg,Comprimes orodispersibles,B/15,7.44,2.898,PHLOROGLUCINOL,Antispasmodiques,Non
COLOCALM,80 mg,Comprimes orodispersibles,B/20,4.935,1.968,PHLOROGLUCINOL,Antispasmodiques,Non
COLOSPASMYL,100 mg,Comprimes pellicules,B/30,5.73,1.764,TRIMEBUTINE,Antispasmodiques,Non
COLOSPASMYL,200 mg,Comprimes secables,B/15,5.79,2.202,TRIMEBUTINE,Antispasmodiques,Non
COLPRONE 5,5 mg,Comprimes,B/20,6.907,5.865,MEDROGESTONE,Hormones,Oui
COLTRAMYL,4 mg,Comprimes secables,B/12,7.65,1.901,THIOCOLCHICOSIDE,Anti-inflammatoires,Oui
COMBIFOR,200 µg/12 µg,Poudre pour inhalation buccale,B/120 gélules (60 gélules aeronide + 60 gélules aerofor),40.37,32.946,BUDESONIDE+FORMOTEROL,Bronchodilatateurs,Oui
COMBIFOR,400 µg/12 µg,Poudre pour inhalation buccale,B/120 gélules (60 gélules aeronide + 60 gélules aerofor),48.985,39.831,BUDESONIDE+FORMOTEROL,Bronchodilatateurs,Oui
CONCOR AMLO,10 mg/10 mg,Comprimes,B/30,32.27,17.213,BISOPROLOL+ AMLODIPINE,Antihypertenseurs,Oui
CONCOR AMLO,10 mg/5 mg,Comprimes,B/30,28.585,14.331,BISOPROLOL+ AMLODIPINE,Antihypertenseurs,Oui
CONCOR AMLO,5 mg/10 mg,Comprimes,B/30,28.585,15.683,BISOPROLOL+ AMLODIPINE,Antihypertenseurs,Oui
CONCOR AMLO,5 mg/5 mg,Comprimes,B/30,24.005,12.827,BISOPROLOL+ AMLODIPINE,Antihypertenseurs,Oui
CONVERTAL,25 mg,Comprimes secables,B/30,6.985,4.233,CAPTOPRIL,Antihypertenseurs,Oui
COOLMETEC,"20 mg/12,5 mg",Comprimes pellicules,B/30,39.758,23.715,OLMESARTAN MEDOXOMIL + HYDROCHLORTHIAZIDE,Antihypertenseurs,Oui
COOLMETEC,20 mg/25 mg,Comprimes pellicules,B/30,40.972,24.429,OLMESARTAN MEDOXOMIL + HYDROCHLORTHIAZIDE,Antihypertenseurs,Oui
COOLMETEC,"40 mg/12,5 mg",Comprimes pellicules,B/30,46.815,27.897,OLMESARTAN MEDOXOMIL + HYDROCHLORTHIAZIDE,Antihypertenseurs,Oui
COOLMETEC,40 mg/25 mg,Comprimes pellicules,B/30,46.815,27.897,OLMESARTAN MEDOXOMIL + HYDROCHLORTHIAZIDE,Antihypertenseurs,Oui
COPIGREL,75 mg,Comprimes pellicules,B/30,31.33,24.939,CLOPIDOGREL,Antiplaquettaires,Oui
COPIGREL,75 mg,Comprimes pellicules,B/60,115.315,49.878,CLOPIDOGREL,Antiplaquettaires,Oui
COPIGREL,75 mg,Comprimes pellicules,B/90,91.09,74.817,CLOPIDOGREL,Antiplaquettaires,Oui
COPRED ODT,5 mg,Comprimes orodispersibles,B/30,6.345,5.38,PREDNISOLONE,Corticoïdes,Oui
CORACTEN,20 mg,Gelules à liberation prolongee,B/30,10.865,9.231,NIFEDIPINE,Antihypertenseurs,Oui
CORAPRIL,"10 mg/12,5 mg",Comprimes secables,B/30,29.93,25.424,RAMIPRIL+HYDROCHLOROTHIZIDE,Antihypertenseurs,Oui
CORAPRIL,10 mg/25 mg,Comprimes secables,B/30,29.93,25.424,RAMIPRIL+HYDROCHLOROTHIZIDE,Antihypertenseurs,Oui
CORAPRIL,5 mg/25 mg,Comprimes secables,B/30,23.555,16.958,RAMIPRIL+HYDROCHLOROTHIZIDE,Antihypertenseurs,Oui
CORAPRIL,5 mg/25 mg,Comprimes secables,B/90,59.865,50.873,RAMIPRIL+HYDROCHLOROTHIZIDE,Antihypertenseurs,Oui
CORDARONE,200 mg,Comprimes secables,B/20,10.23,4.369,AMIODARONE,Autres,Oui
CORTEF 10,10 mg,Comprimes secables,FL/100,5.575,4.675,HYDROCORTISONE,Corticoïdes,Oui
CORTEF 10,100 mg,Pdre p.prep.injectable,B/1 FL + solv/2 ml,2.085,1.772,HYDROCORTISONE,Corticoïdes,Oui
CORTEMA,"0,01%",Lotion,FL/30 ml,3.78,3.213,FLUOCINONIDE,Corticoïdes,Non
CORTEMA,"0,01%",Pommade dermique,T/20 g,6.123,2.448,FLUOCINONIDE,Corticoïdes,Non
CORTEMA,"0,01%",Pommade dermique,T/50 g,7.225,6.12,FLUOCINONIDE,Corticoïdes,Non
CORTEMA APG,"0,05%",Creme dermique,T/15 g,6.96,5.916,FLUOCINONIDE,Corticoïdes,Non
CORTEMA GEL,"0,025%",Gel dermique,T/30 g,4.11,3.494,FLUOCINONIDE,Corticoïdes,Non
CORTEMA GRAS,"0,05%",Pommade dermique,T/15 g,6.214,5.279,FLUOCINONIDE,Corticoïdes,Non
CORTEMA NEOMYCINE,"0,05%",Pommade dermique,T/15 g,7.075,1.989,FLUOCINONIDE+NEOMYCINE,Corticoïdes,Non
CORTINASE,64 µg/dose,Suspension nasale,FL/120 doses,17.48,12.036,BUDESONIDE,Corticoïdes,Oui
CORTIS,100 µg,Solution pour inhalation,FL/100 doses,7.5,6.375,BECLOMETASONE,Corticoïdes,Oui
CORTIS,250 µg,Suspension pour inhalation,FL/200 doses,18.375,10.88,BECLOMETASONE,Corticoïdes,Oui
CORTIS,50 µg,Suspension pour inhalation,FL/200 doses,7.49,6.29,BECLOMETASONE,Corticoïdes,Oui
CORTIVANS,5 mg,Comprimes,B/30,5.94,5.049,PREDNISONE,Corticoïdes,Oui
CORVASAL,2 mg,Comprimes secables,B/30,4.475,3.392,MOLSIDOMINE,Antihypertenseurs,Oui
CORVASAL,4 mg,Comprimes secables,B/30,8.49,6.503,MOLSIDOMINE,Antihypertenseurs,Oui
COSIMPREL,10 mg/10 mg,Comprimes pellicules,B/30,33.625,28.56,BISOPROLOL+PERINDOPRIL,Antihypertenseurs,Oui
COSIMPREL,10 mg/5 mg,Comprimes pellicules,B/30,33.625,28.56,BISOPROLOL+PERINDOPRIL,Antihypertenseurs,Oui
COSIMPREL,5 mg/10 mg,Comprimes pellicules secables,B/30,25.052,21.293,BISOPROLOL+PERINDOPRIL,Antihypertenseurs,Oui
COSIMPREL,5 mg/5 mg,Comprimes pellicules secables,B/30,25.052,21.293,BISOPROLOL+PERINDOPRIL,Antihypertenseurs,Oui
COSOPT,20 mg/ml + 5 mg/ml,Collyre,FL/5 ml,32.475,17.519,DORZOLAMIDE+TIMOLOL,Autres,Oui
COTAREG,"160 mg/12,5 mg",Comprimes pellicules,B/28,57.295,26.013,VALSARTAN / HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COTAREG,160 mg/25 mg,Comprimes pellicules,B/30,61.37,27.412,VALSARTAN / HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COTAREG,160 mg/25 mg,Comprimes pellicules,B/90,152.14,82.238,VALSARTAN / HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COTAREG,"80 mg/12,5 mg",Comprimes pellicules,B/30,38.955,17.799,VALSARTAN / HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COTAREG,"80 mg/12,5 mg",Comprimes pellicules,B/90,95.46,53.397,VALSARTAN / HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
COTRIMOX,240 mg/5 ml,Suspension buvable,FL/100 ml,3.013,2.55,COTRIMOXAZOLE,Antibiotiques,Oui
COTRIMOX,400 mg/80 mg,Comprimes,B/20,3.3,2.193,COTRIMOXAZOLE,Antibiotiques,Oui
COVERAM,10 mg/5 mg,Comprimes,FL/30,58.65,29.147,PERINDOPRIL+AMLODIPINE,Antihypertenseurs,Oui
COVERAM,5 mg/10 mg,Comprimes,FL/30,40.175,34.145,PERINDOPRIL+AMLODIPINE,Antihypertenseurs,Oui
COVERAM,5 mg/5 mg,Comprimes,FL/30,45.17,23.052,PERINDOPRIL+AMLODIPINE,Antihypertenseurs,Oui
COVERSYL,10 mg,Comprimes pellicules,FL/30,62.32,29.631,PERINDOPRIL,Antihypertenseurs,Oui
COVERSYL,5 mg,Comprimes pellicules,FL/30,38.795,16.167,PERINDOPRIL,Antihypertenseurs,Oui
COXIBREX,200 mg,Gelules,B/10,8.045,2.536,CELECOXIB,Anti-inflammatoires,Non
COXIBREX,200 mg,Gelules,B/20,13.235,5.072,CELECOXIB,Anti-inflammatoires,Non
COXIBREX,200 mg,Gelules,B/30,19.735,7.608,CELECOXIB,Anti-inflammatoires,Non
CREON 10 000 U,150 mg,Gelules,FL/60,19.561,16.626,PANCREATINE,Laxatifs,Non
